1	677182.8076800848	4849183.901514522
0	668836.7941177783	4848345.561625869
0	678404.796567969	4851210.046165829
0	682080.1677424115	4850715.118554115
0	686231.7536426748	4830444.25011837
1	698377.8040276602	4849267.342804833
0	681130.8100218101	4848935.177567734
0	698360.2064454842	4851602.206026267
0	698173.2952432002	4832437.636701275
0	699598.4722416588	4832283.643433263
1	680940.9836586432	4848967.25437859
0	684498.4695336426	4843679.51223914
0	660162.8542155867	4840025.524682921
0	667433.373887568	4849302.267588024
0	675514.7743258684	4846206.662247235
1	682840.5650458545	4850705.832949571
0	688398.8577906431	4846209.673232674
0	695931.6357282258	4849491.426048015
0	675440.763587113	4846239.057857268
0	678062.1159495659	4851213.653966991
1	668171.5809004303	4863534.530949564
0	667481.9431510423	4862364.78298754
0	667548.6867200451	4861026.349234718
0	665374.2572950702	4860725.420516665
0	666284.270090759	4861580.470202292
1	662885.6326941111	4844225.227479966
0	677175.6323750188	4847487.742776916
0	685017.5263104694	4845315.701980826
0	682451.9729220516	4848823.619457763
0	648576.522649411	4851409.804783185
1	648360.2020679751	4849505.026365424
0	681895.5073020601	4850011.270072847
0	677396.9163369186	4849965.508896297
0	697275.9529960308	4836232.231697891
0	679247.6797727124	4845164.487937124
1	671036.2623096536	4859415.168091591
0	665519.2422495463	4859388.496024007
0	665350.2750112144	4861462.10843538
0	668046.7896072981	4856725.070843542
0	670355.7236870675	4871802.30767774
1	668108.0892544019	4849586.768706636
0	683900.9740358513	4848585.799875956
0	676349.3670685982	4850204.770735472
0	657599.1935058232	4842619.60118316
0	697486.5320789344	4836768.13592776
1	683666.1018175987	4848535.639069408
0	687990.748203542	4857187.631118191
0	671697.0948814498	4853147.585615261
0	660607.587993999	4837815.288529579
0	656522.0146816997	4842375.55962966
1	670601.2813529755	4872792.707483017
0	669565.8480623377	4859881.925139079
0	669794.7746512176	4859308.620161397
0	667950.8787687587	4859782.861098162
0	667117.309304249	4857363.016033392
1	682623.8405264629	4850545.607910525
0	678973.444394326	4851079.038387087
0	670662.7855009288	4854528.570528358
0	668446.0221267496	4849132.306298478
0	684232.3488300616	4849861.867152464
1	679702.0152753511	4850733.652444754
0	656704.3128774298	4841902.437344793
0	678037.9226108852	4849865.909476943
0	679345.786462714	4873494.722433836
